signal_id,asset,direction,entry,tp1,tp2,tp3,stop_loss,confidence,timestamp_sent,result,exit_price,exit_time,pnl_pct
2026-02-25 02:28:48 UTC,XRP-USD,LONG,1.389602,1.40721,1.418948,1.436555,1.371995,9.0,2026-02-25 02:28:48 UTC,SL_HIT,1.371995,2026-02-25 02:43:50 UTC,-1.267
2026-02-25 02:29:01 UTC,SOL-USD,LONG,82.537888,83.649478,84.390538,85.502128,81.426298,9.7,2026-02-25 02:29:01 UTC,SL_HIT,81.426298,2026-02-25 02:44:02 UTC,-1.347
2026-02-25 02:31:31 UTC,PEP,LONG,169.546997,171.063334,172.074226,173.590563,168.03066,10.0,2026-02-25 02:31:31 UTC,SL_HIT,168.03066,2026-02-25 02:46:32 UTC,-0.894
2026-02-25 02:31:50 UTC,GC=F,LONG,5207.100098,5251.875087,5281.72508,5326.50007,5162.325108,8.2,2026-02-25 02:31:50 UTC,SL_HIT,5162.325108,2026-02-25 02:46:51 UTC,-0.86
2026-02-25 02:32:02 UTC,SI=F,LONG,88.949997,90.631607,91.75268,93.434289,87.268387,9.4,2026-02-25 02:32:02 UTC,SL_HIT,87.268387,2026-02-25 02:47:04 UTC,-1.891
2026-02-25 02:32:37 UTC,NG=F,SHORT,2.84,2.804429,2.780714,2.745143,2.875571,8.2,2026-02-25 02:32:37 UTC,SL_HIT,2.875571,2026-02-25 02:47:38 UTC,-1.253
2026-02-25 11:22:56 UTC,PEP,LONG,169.546997,171.063334,172.074226,173.590563,168.03066,10.0,2026-02-25 11:22:56 UTC,SL_HIT,168.03066,2026-02-25 11:37:57 UTC,-0.894
2026-02-25 11:23:03 UTC,KO,LONG,80.720001,81.337015,81.748358,82.365372,80.102987,8.4,2026-02-25 11:23:03 UTC,SL_HIT,80.102987,2026-02-25 11:38:04 UTC,-0.764
2026-02-25 14:03:41 UTC,BTC-USD,LONG,66256.523438,67030.510463,67546.501814,68320.488839,65482.536412,8.1,2026-02-25 14:03:41 UTC,SL_HIT,65482.536412,2026-02-25 14:18:42 UTC,-1.168
2026-02-25 14:03:57 UTC,ETH-USD,LONG,1965.898438,1995.421945,2015.104283,2044.62779,1936.37493,8.7,2026-02-25 14:03:57 UTC,SL_HIT,1936.37493,2026-02-25 14:18:58 UTC,-1.502
2026-02-25 14:04:24 UTC,XRP-USD,LONG,1.413953,1.432522,1.444902,1.463471,1.395383,8.4,2026-02-25 14:04:24 UTC,SL_HIT,1.395383,2026-02-25 14:19:24 UTC,-1.313
2026-02-25 14:05:45 UTC,GC=F,LONG,5206.200195,5237.518136,5258.396763,5289.714704,5174.882254,8.5,2026-02-25 14:05:45 UTC,SL_HIT,5174.882254,2026-02-25 14:20:46 UTC,-0.602
2026-02-26 10:43:35 UTC,USDCHF=X,LONG,0.7746,0.776064,0.777039,0.778503,0.773136,8.6,2026-02-26 10:43:35 UTC,SL_HIT,0.773136,2026-02-26 10:58:36 UTC,-0.189
2026-02-26 10:46:23 UTC,XRP-USD,LONG,1.449685,1.474043,1.490282,1.51464,1.425328,9.1,2026-02-26 10:46:23 UTC,SL_HIT,1.425328,2026-02-26 11:01:24 UTC,-1.68
2026-02-26 10:46:54 UTC,QQQ,LONG,616.52002,620.057781,622.416288,625.954049,612.982258,10.0,2026-02-26 10:46:54 UTC,SL_HIT,612.982258,2026-02-26 11:01:58 UTC,-0.574
2026-02-26 10:47:05 UTC,AAPL,LONG,274.179993,277.08139,279.015656,281.917053,271.278595,9.5,2026-02-26 10:47:05 UTC,SL_HIT,271.278595,2026-02-26 11:02:06 UTC,-1.058
2026-02-26 10:47:42 UTC,META,LONG,653.780029,660.046932,664.224867,670.491769,647.513127,9.3,2026-02-26 10:47:42 UTC,SL_HIT,647.513127,2026-02-26 11:02:43 UTC,-0.959
2026-02-26 10:48:37 UTC,BZ=F,SHORT,69.809998,69.408211,69.140353,68.738567,70.211784,8.8,2026-02-26 10:48:37 UTC,SL_HIT,70.211784,2026-02-26 11:03:38 UTC,-0.576
2026-02-26 10:48:49 UTC,NG=F,SHORT,2.795,2.771964,2.756607,2.733572,2.818036,10.0,2026-02-26 10:48:49 UTC,SL_HIT,2.818036,2026-02-26 11:03:49 UTC,-0.824
2026-02-26 13:36:59 UTC,XRP-USD,LONG,1.443334,1.461296,1.47327,1.491232,1.425373,9.2,2026-02-26 13:36:59 UTC,SL_HIT,1.425373,2026-02-26 13:52:01 UTC,-1.244
2026-02-26 13:37:17 UTC,SPY,LONG,693.099976,695.926372,697.810636,700.637033,690.273579,9.2,2026-02-26 13:37:17 UTC,SL_HIT,690.273579,2026-02-26 13:52:18 UTC,-0.408
2026-02-26 13:37:25 UTC,QQQ,LONG,616.52002,620.057781,622.416288,625.954049,612.982258,10.0,2026-02-26 13:37:25 UTC,SL_HIT,612.982258,2026-02-26 13:52:25 UTC,-0.574
2026-02-26 13:37:31 UTC,AAPL,LONG,274.179993,277.08139,279.015656,281.917053,271.278595,9.6,2026-02-26 13:37:31 UTC,SL_HIT,271.278595,2026-02-26 13:52:32 UTC,-1.058
2026-02-26 13:38:02 UTC,META,LONG,653.780029,660.046932,664.224867,670.491769,647.513127,9.3,2026-02-26 13:38:02 UTC,SL_HIT,647.513127,2026-02-26 13:53:03 UTC,-0.959
2026-02-26 15:22:40 UTC,GBPUSD=X,SHORT,1.352009,1.349698,1.348157,1.345846,1.35432,9.0,2026-02-26 15:22:40 UTC,SL_HIT,1.35432,2026-02-26 15:37:43 UTC,-0.171
2026-02-26 15:23:28 UTC,NZDUSD=X,SHORT,0.596872,0.595648,0.594832,0.593608,0.598097,9.6,2026-02-26 15:23:28 UTC,SL_HIT,0.598097,2026-02-26 15:38:29 UTC,-0.205
